order	cond	time	button	rt	correct	block	counterbalance
1	2	24232	1	800	1	1	1
2	2	31032	1	843	1	1	1
3	2	37882	1	516	1	1	1
4	2	44399	1	603	1	1	1
5	2	51015	1	526	1	1	1
6	2	57549	1	228	1	1	1
7	0	63782	2	694	1	1	1
8	0	70482	2	293	1	1	1
9	2	76782	1	517	1	1	1
10	2	83299	1	475	1	1	1
11	2	89782	1	292	1	1	1
12	0	96082	2	291	1	1	1
13	1	102382	2	355	1	1	1
14	1	108749	2	431	1	1	1
15	0	115182	2	394	1	1	1
16	2	121582	1	1092	1	1	1
17	2	128682	1	276	1	1	1
18	2	134966	1	452	1	1	1
19	2	141432	1	333	1	1	1
20	1	147766	2	315	1	1	1
21	0	154082	2	570	1	1	1
22	2	160666	1	526	1	1	1
23	1	167199	2	324	1	1	1
24	2	173532	1	242	1	1	1
25	1	179782	2	260	1	1	1
26	1	186049	2	341	1	1	1
27	0	192399	2	434	1	1	1
28	2	198849	1	315	1	1	1
29	2	205166	1	426	1	1	1
30	0	211599	2	516	1	1	1
31	0	218116	2	507	1	1	1
32	1	224633	2	386	1	1	1
33	0	231033	2	365	1	1	1
34	1	237399	2	346	1	1	1
35	2	243749	1	359	1	1	1
36	2	250116	1	293	1	1	1
37	0	256416	2	468	1	1	1
38	0	262899	2	428	1	1	1
39	2	269333	1	886	1	1	1
40	1	276233	2	382	1	1	1
41	1	306233	2	344	1	1	1
42	0	312583	2	230	1	1	1
43	2	318816	1	232	1	1	1
44	2	325049	1	283	1	1	1
45	2	331333	1	251	1	1	1
46	0	337600	2	203	1	1	1
47	2	343816	1	222	1	1	1
48	0	350050	2	129	1	1	1
49	0	356183	2	311	1	1	1
50	1	362500	2	118	1	1	1
51	2	368633	2	396	0	1	1
52	1	377016	2	263	1	1	1
53	2	383283	1	216	1	1	1
54	2	389500	1	682	1	1	1
55	2	396183	1	346	1	1	1
56	0	402533	2	264	1	1	1
57	0	408800	2	664	1	1	1
58	2	415466	1	233	1	1	1
59	1	421716	1	1690	0	1	1
60	2	431400	1	353	1	1	1
61	2	437766	1	285	1	1	1
62	2	444066	1	349	1	1	1
63	0	450416	2	298	1	1	1
64	0	456717	2	298	1	1	1
65	1	463017	2	361	1	1	1
66	2	469383	1	566	1	1	1
67	2	475967	1	250	1	1	1
68	2	482250	1	155	1	1	1
69	2	488450	1	702	1	1	1
70	1	495200	2	236	1	1	1
71	2	501483	4	748	2	1	1
72	2	510267	1	246	1	1	1
73	0	516550	2	167	1	1	1
74	0	522767	2	426	1	1	1
75	2	529233	1	226	1	1	1
76	2	535500	1	211	1	1	1
77	1	541750	2	117	1	1	1
78	2	547917	1	346	1	1	1
79	2	554300	1	214	1	1	1
80	2	560550	1	344	1	1	1
81	0	585400	2	100	1	1	1
82	0	591550	2	74	1	1	1
83	2	597667	1	225	1	1	1
84	2	603934	1	194	1	1	1
85	0	610167	2	276	1	1	1
86	0	616484	2	227	1	1	1
87	2	622750	1	484	1	1	1
88	1	629284	1	426	0	1	1
89	1	637750	2	321	1	1	1
90	2	644117	1	79	1	1	1
91	2	650234	1	229	1	1	1
92	1	656500	2	550	1	1	1
93	2	663100	1	233	1	1	1
94	1	669384	2	202	1	1	1
95	2	675634	1	603	1	1	1
96	1	682284	1	605	0	1	1
97	1	690934	1	301	0	1	1
98	1	699284	2	265	1	1	1
99	0	705584	2	632	1	1	1
100	2	712251	1	281	1	1	1
101	2	718567	1	200	1	1	1
102	2	724817	1	249	1	1	1
103	2	731117	1	265	1	1	1
104	2	737417	1	312	1	1	1
105	1	743767	2	102	1	1	1
106	2	749917	1	907	1	1	1
107	2	756867	1	225	1	1	1
108	2	763134	1	1680	1	1	1
109	2	770851	1	232	1	1	1
110	2	777117	1	264	1	1	1
111	2	783417	1	296	1	1	1
112	2	789751	1	342	1	1	1
113	1	796134	2	98	1	1	1
114	1	802268	2	345	1	1	1
115	2	808651	1	261	1	1	1
116	1	814951	2	1316	1	1	1
117	2	822318	1	280	1	1	1
118	2	828634	1	535	1	1	1
119	0	835218	2	267	1	1	1
120	2	841534	1	266	1	1	1
121	1	864718	2	347	1	1	1
122	0	871101	2	391	1	1	1
123	0	877534	2	257	1	1	1
124	2	883834	2	288	0	1	1
125	1	892168	2	637	1	1	1
126	1	898851	2	269	1	1	1
127	0	905168	2	253	1	1	1
128	2	911468	1	715	1	1	1
129	1	918235	2	264	1	1	1
130	0	924535	2	360	1	1	1
131	2	930935	1	243	1	1	1
132	1	937218	2	323	1	1	1
133	2	943585	2	433	0	1	1
134	1	952068	2	183	1	1	1
135	0	958301	2	265	1	1	1
136	2	964618	1	280	1	1	1
137	1	970935	2	887	1	1	1
138	0	977868	2	508	1	1	1
139	0	984418	2	418	1	1	1
140	2	990885	1	251	1	1	1
141	0	997185	2	538	1	1	1
142	1	1003768	2	222	1	1	1
143	2	1008835	1	608	1	1	1
144	2	1015985	1	349	1	1	1
145	2	1022385	1	233	1	1	1
146	2	1028668	1	265	1	1	1
147	1	1034985	2	152	1	1	1
148	1	1041185	2	667	1	1	1
149	0	1047902	2	698	1	1	1
150	0	1054652	2	359	1	1	1
151	2	1061052	1	387	1	1	1
152	0	1067485	2	460	1	1	1
153	0	1073985	2	484	1	1	1
154	1	1080518	2	346	1	1	1
155	2	1086902	1	294	1	1	1
156	2	1093235	2	2259	0	1	1
157	1	1103535	2	497	1	1	1
158	0	1110068	2	231	1	1	1
159	1	1116352	2	152	1	1	1
160	2	1122552	1	187	1	1	1
