order	cond	time	button	rt	correct	block	counterbalance
1	2	58456	2	647	1	2	1
2	1	65106	1	314	1	2	1
3	1	71423	1	586	1	2	1
4	0	78006	2	432	1	2	1
5	2	84439	2	396	1	2	1
6	0	90839	2	1848	1	2	1
7	1	98689	1	2954	1	2	1
8	2	107656	2	944	1	2	1
9	0	114606	2	343	1	2	1
10	2	120956	2	2085	1	2	1
11	1	129039	1	398	1	2	1
12	1	135439	1	619	1	2	1
13	2	142056	1	1279	0	2	1
14	0	151323	2	648	1	2	1
15	1	157973	1	363	1	2	1
16	1	164340	1	457	1	2	1
17	1	170806	1	468	1	2	1
18	2	177273	2	542	1	2	1
19	2	183823	2	7202	1	2	1
20	2	197023	2	463	1	2	1
21	0	203490	2	409	1	2	1
22	2	209906	2	261	1	2	1
23	1	216173	1	200	1	2	1
24	1	222373	1	381	1	2	1
25	1	228757	2	538	0	2	1
26	2	237290	2	273	1	2	1
27	1	243573	1	275	1	2	1
28	2	249857	2	245	1	2	1
29	1	256107	3	1879	2	2	1
30	1	265973	1	280	1	2	1
31	0	272257	2	362	1	2	1
32	1	278623	2	1511	0	2	1
33	1	288123	1	311	1	2	1
34	0	294440	2	535	1	2	1
35	0	300974	2	479	1	2	1
36	2	307457	2	1160	1	2	1
37	1	314624	1	247	1	2	1
38	1	320874	1	250	1	2	1
39	1	327124	1	461	1	2	1
40	1	333590	1	3574	1	2	1
41	2	365707	2	1683	1	2	1
42	1	373391	1	444	1	2	1
43	1	379841	1	551	1	2	1
44	0	386391	2	478	1	2	1
45	1	392874	1	248	1	2	1
46	2	399124	2	731	1	2	1
47	2	405857	2	475	1	2	1
48	1	412341	1	404	1	2	1
49	1	418757	1	432	1	2	1
50	2	425191	2	795	1	2	1
51	1	431991	1	344	1	2	1
52	0	438341	2	615	1	2	1
53	2	444957	2	267	1	2	1
54	1	451224	1	270	1	2	1
55	1	457508	1	336	1	2	1
56	1	463858	2	607	0	2	1
57	0	472458	2	243	1	2	1
58	0	478708	1	837	0	2	1
59	1	487541	1	288	1	2	1
60	1	493841	1	289	1	2	1
61	1	500141	1	434	1	2	1
62	1	506574	1	270	1	2	1
63	0	512858	2	447	1	2	1
64	1	519308	1	507	1	2	1
